name,registration_number,address,registration_date,renewed_on,valid_upto,district,country,remarks,source_name
Mahbub Welfare Foundation,2117,"60/17, West Madatek (2nd Floor), Dhaka-1214.",2006-08-02,2011-08-02,2021-08-02,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mahmuda Sattar Seba Sangstha (MSSS),3471,"V-Aid Road, Masterpara, Gaibandha Sadar, Gaibandha Phone: 01842669383 email: info.msss2017@gmail.com",2025-06-03,,2035-06-02,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Maisha (Movement of Aid Initiator Through Services & Human Rights Activities),2753,"GEM Colony Gate, North Potenga, Chattogram. Phone: 01815-501008",2012-12-18,2017-12-18,2027-12-17,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Maitri Samaj Kalyan Sangha,0520,"15, Haricharan Roy Road, Faridabad, Dhaka Phone : 7411019",1991-08-10,2011-08-10,2016-08-10,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Maitry Foundation,2887,"32/1 Shahid Raruk Road, North Jatra Bari, Dhaka",2014-08-25,2019-08-25,2029-08-25,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Major Academy of National Advancement and Growing Economy (MANAGE),1505,"Jibon Bhaban (1st Floor), Dewanhat, Doublemooring, Chattogram. Phone: 01814-108565",2000-04-19,2010-04-19,2015-04-19,Chattogram,Bangladesh,"Cancelled on 27/06/2010, Revived on 29/09/2011",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Major General (Retd.) Shubid Ali Bhuiyan Academy Foundation,3088,"94, Bir Uttam CR Datta Road, Bangla Motor, Dhaka-1205 01915115323",2017-01-22,2017-01-22,2027-01-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Malancha Seba Samity,1370,"Malancha Seba Samitty, Madhabpur, Sherpur. Phone: 0931-61428",1999-01-13,2009-04-14,2014-04-14,Sherpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Malerhat Jubo Sangha,0236,"PO: Char Bhaiijavy, UZ: Haimchar, Dist: Chandpur.",1987-08-30,2017-08-30,2027-08-30,Chandpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mamas Welfare Trust,3449,"7th Floor, 15 New Eskaton Road, Moghbazer, Dhaka. Phone: 01983873516 email: mifwoh79@gmail.com",2025-04-30,,2035-04-29,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mamata,1181,"House-04, Road-01, Lane-01, Block-L, Halishahar Housing Estate, Chattogram. Phone: 727295 www.mamatabd.org",1997-08-20,2017-08-20,2027-08-20,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mamtaz Faruque Foundation,2621,"Jhikergacha Bazar, Post & Upazilla: Jhikergacha, Dist: Jessore-7420 Phone: 01715996866",2011-02-03,2016-02-03,2021-02-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mamudpur Samajik Unnayan Sangstha,2614,"Mamudpur, Mohanganj, Dist: Netrakona.",2010-12-01,,2015-12-01,Netrakona,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Man for Man,2726,"Sadar Road, Bamna, Barguna. Phone: 01715-635411",2012-09-06,2017-09-06,2027-09-06,Barguna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Kallyan Foundation,2680,"104/A, North Basaboo, Dhaka. Phone: 01552312357",2012-02-27,2022-02-27,2032-02-26,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Kallyan Sabolambi Sangstha,1031,"Kazibari, Shantola, P.O. Sadullahpur, District Gaibandha Phone: 01716875283",1995-04-17,2021-04-17,2031-04-17,Gaibandha,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Kalyan Parishad (MKP),0361,"Bus Stand Road, P.O & Dist: Thakurgaon-5100. Phone: 0651-52222",1990-03-03,2020-03-03,2030-03-03,Thakurgaon,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Mukti Sangstha,0344,"Vill: Khas Bara Shimul, Bangabandhu Bridge west sub, Distl: Sirajganj. Phone: 01713-002850 www.mmsbangladesh.org",1990-01-28,2020-01-28,2030-01-28,Sirajganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Sampad Unnayan Kendra,0389,"Vill. Pania, P.O. Obaydurnagar, Kaliganj, Satkhira Phone: 01713-484934",1990-10-21,2020-10-21,2030-10-21,Sathkhira,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Seba Foundation,3263,"Kuada Bazar, Monirampur, Jessore",2021-01-31,,2031-01-31,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Seba O Samajik Unnayan Sangstha,1787,"37, Khajahan Ali Road, Khulna-9000 Phone: 041-2850277 www.mssus.org",2003-01-13,2018-01-13,2028-01-13,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Seba Sangstha,0259,"Upazilla Parishad Campas, Kashebpur, Jessore. Phone: 04226-56571",1988-02-16,2019-02-16,2029-02-16,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Shakti Unnayan Kendra,1719,"77, Mahtab Uddin Sarak, Court Par, Kushtia Phone:7161335 www.msuk-bd.org",2002-06-10,2022-06-10,2032-06-09,Kustia,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Unnayan Kendra,1985,"Muckpoint, Hat Road, Amjhupi, Meherpur Phone: 0791-62424 www.nmuk-f.org",2004-11-25,2019-11-25,2029-11-25,Meherpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Unnayan Kendrik Karjakram,1903,"Baligoan, Post- Hilcia, Upazilla-Bajitpur, Dist.- Kishorganj.",2004-01-21,2009-01-21,2014-01-21,Kishorganj,Bangladesh,"Cancelled on 23/12/2010, Revived on 14/10/2012",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manab Unnayan Sangstha (MUS),0606,"Vill: Nishchintapur, P.O. Momenabad, Madarganj, Jamalpur Phone: 01713-539181",1992-03-16,2017-03-16,2027-03-16,Jamalpur,Bangladesh,"Cancelled on 26/05/2010, Revived on 01/06/2011",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manabadhikar Shongskriti Foundation,3210,"Shajher Maya, House-15, Road-32, Dhanmondhi, Dhaka, Mob: 01711387168",2019-07-21,,2029-07-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manabik Kalyan Sangstha,0480,"Vill: Rabaitari, P.O. Newashi, Thana: Fulbari, Kurigram Phone: 01714-453320",1991-06-01,2016-06-01,2026-06-01,Kurigram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manabik Shahajjo Sangstha,0130,"29 West Pantha path (3rd floor), Dhaka-1205 Phone: 9125038, Fax: 9113017 www.mssbd.org",1982-11-23,2020-05-15,2030-05-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manabsampad Kallan Sangstha (MAKS),2028,"Haji Abdul Hamid Building (4th Floor), 3 No. Muradpur, Chalkbazar, Panchlaish, Chattogram Phone: 031-2552395",2005-04-16,2020-04-16,2030-04-15,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Maneesha,2301,"House-32 (Ground Fl.), Alaol Avenue Road, Uttara Model Town, Dhaka-1230. Phone: 01715-077055 www.maneeshabd.com",2008-01-23,2018-01-23,2028-01-22,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manikganj Disabled People's Organization to Development (MDPOD),2510,"Vill: Rouhadaha, P.O: Susshunda, UZ: Manikgonj Sadar, Dist.: Manikganj. Phone: 01712-078254 Fax: 0651-62717",2009-11-05,2019-11-05,2029-11-05,Manikganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manikganj Unnayan Sangstha (MAUS),3582,"Vill+Post: Tepra, UZ: Shibalaya, Dist: Manikganj. Phone: 01747412996 email: maus0568@gmail.com",2026-02-19,,2036-02-18,Manikganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manob Kalyankami Anathalaya,1244,"P.O. Chandigarr, UZ: Durgapur, Netrokona www.orphaagemk.org",1998-02-25,2009-02-25,2014-02-25,Netrakona,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manob progati Sangha,3337,"Adi Tangail, Tangail Phone: 01714746493 email: mpsshelly@yahoo.com",2022-12-15,,2032-12-14,Tangail,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manob Shahayak Kendra,2769,"Naw Para, PO: Mallikpur, PS: Joypurhat, Dist: Joypurhat Phone: 01718-330358",2013-03-06,2018-03-06,2028-03-06,Joypurhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manob Unnayon Karmoshuchi,3350,"Sonatola, Bogra. Phone: 01740542020",2023-03-30,,2033-03-29,Bogra,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
"Manobik Unnayan Procesta, Shristhi",3526,"4/7,Lvel-4,KornofullyGardenCity, 109 Kakrail Road, Dhaka-1000 Phone: 01726390970 email: info@bte-bd.org",2025-11-12,,2035-11-11,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manosika,1935,"Vill.- Khatapara, Post. Sapibari, Upazilla- Aditmari, Dist. Lalmanirhat Phone: 0591-61302, 01718-640945",2004-06-03,2019-06-03,2029-06-03,Lalmonirhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Manusher Jonno Foundation,2175,"House-47, Road-35/A, Gulshan-2, Dhaka-1212 Phone: 02-9893910, 01714007663 www.manusherjonno.org",2006-12-17,2021-12-17,2031-12-16,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Marie Stopes Bangladesh (MSB),2033,"House-6/2, Block-F, Lalmatia Housing Estate, Mohammadpur, Dhaka-1207 Phone: 8114393, 8114394 www.mariestopes.bd.org",2005-04-21,2020-04-21,2030-04-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Marie Stopes Clinic Society,0644,"House-6/2, Block-F, Lalmatia Housing Estate, Dhaka-1207 Phone: 8114392, Fax: 8117673 www.maristopes-bd.org",1992-08-20,2017-08-20,2027-08-20,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Marine Life Allience,2867,"Omer Mension, Hazi Ahmed Hossain Road, Sadar Upazilla Gate, Cox'sbazar. Phone: 01729-090041",2014-06-22,,2019-06-22,Cox'sBazar,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Markazul Muslimen,2327,"2/G/3, Golden Street, Ring Road, Shamoly, Mohammadpur, Dhaka-1207",2008-03-27,,2013-03-27,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mary Somaj Kallyan Sangstha,3187,"Sheojgari, Talukdarpara, Sadar, Bogra Mob; 01723359914",2019-02-06,,2029-02-06,Bogra,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Masjid Council for Community Advancement (MACCA),2287,"15, Sonargaon Janapath (3rd Floor), Sector: 07, Uttara, Dhaka-1230. Phone: 8954305, 8922008 masjidcouncilbd.org",2007-11-13,2022-11-13,2032-11-12,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Masjid Samaj Bangladesh,0067,"6/23, Lalmatia, Dhaka Phone : 326269",1981-04-22,2001-05-15,2006-05-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mass-Line Media Center (MMC),1026,"House-1/20, Humayun Road, Block-B, Mohammadpur, Dhaka Phone : 8123446, 9125077 www.mass-line.org.",1996-04-10,2011-04-10,2016-04-10,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mastul Foundation,3436,"244/Ka, Nimtola, Sultanganj Road, West Dhanmondi, Dhaka-1209 Phone: 01730482279, 01715097762 mail: mstulfoundatin@gmail.com",2025-03-06,,2035-03-05,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mather Bari Bohumukhi Somaj Kallan Sangstha,3186,"wHwajwi A.mli aMsatunl.snioent, Tarabaniachara, Cox'sbazar. Mob: 01990141607",2019-01-20,,2029-01-20,Cox'sBazar,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Matrichaya Unnayan Sangstha (MUS),3073,"Ranigonj, Sadar, Dinajpur",2017-01-03,,2022-01-03,Dinajpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Maulana Hasmat Ullah Deobandi Foundation,3208,"Ranigaon ( Taraganj Bazar), Nalitabari, Sherpur, Mob: 01749579100",2019-07-10,,2029-07-10,Sherpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mawlana Abdur Rashid Samaj Kallyan Sangstha,3248,"Kalikshar, PO: Patodaa Bazar, Upazila: Chowddagram, Dist: Comilla, Mob:",2020-10-14,,2030-10-14,Comilla,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mawna Diabetic Association,3496,"EasyLifeBhaban,Block-C,House-181, Mawna Chowrasta (Mawna Bazar road), Sreepur, Gazipur Phone: 01762388424",2025-09-02,,2035-09-01,Gazipur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mayer Dak,1041,"Vill. Tilbari, P.O. Radanagar, Thana Kotalipara, Gopalgonj",1996-05-30,2011-05-30,2016-05-30,Gopalganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mayer Tori,3353,"Vill: Aragi Dewdoba, Post & Upazila: Aditmari, Dist: Lalmonirhat. Phone: 01716859333",2023-04-09,,2033-04-08,Lalmonirhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mazharul Haque BNSB Eye Hospital,2671,"Holding No-161/141 Cemilla road, Thana Sadar, Dist: Chandpur. Phone: 084163559",2012-02-08,2022-02-08,2032-02-08,Chandpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
MB3 Foundation,3253,"House-165, Dr. Nazrul Islam Road, Vill: Mahamudpur, PO: Charavita, Thana: Bagharpara, Dist: Jashore, Mob: 01622623623",2020-11-25,,2030-11-25,Jashore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Media Resources Development Initiative (MRDI),1962,"8/19 Sir Soyed Road (G. Floor), Block-A, Mohammadpur, Dhaka-1207. Phone: 9137147 www.mrdibd.rog",2004-09-21,2019-09-21,2029-09-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Meghna Mohila-O-Shishu Unnayan Sangstha,2643,"Vill: Kullia, Post: Amria, Upazila: Magura, Dist: Magura. Phone: 01911-384331",2011-05-29,2016-05-29,2021-05-29,Magura,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Meghna Samaj Kalyan Sanstha,3467,"Hatigara, Bera, Pabna Phone: 01328309205 email: info.msks.org@gmail.com",2025-06-02,,2035-06-01,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Meghna Social health & Development Foundation,2537,"Ad. Mohammad Ali Market (2nd Floor), Takpara Main Road, Cox'sBazar. Phone: 01917-763842",2010-02-02,2015-02-02,2025-02-02,Cox'sBazar,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Meherpur Foundation,2220,"College Road, Post: Meherpur, Dist.: Meherpur. Phone: 0791-62733",2007-04-04,2017-04-04,2027-04-04,Meherpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Methodist Community Social Service,3499,"250/1 2nd Colony, Mazr Road, Mirpur-1, Dhaka-1216 Phone: 01711150758 email: rbswassimon@gmail.com",2025-09-03,,2035-09-02,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
MHASA,1771,"House-34, Gagan Tower, Madani Avenue, 100 Fit Vatara, Dhaka-1212 Phone : 8827436, 01711-567589",2002-12-02,2017-12-02,2027-12-01,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Micro Industries Development Assistance Society (MIDAS),0123,"Midas Cetre (11th Floor), Plot No.-5, Road-16 (Old-27), Dhanmondi, Dhaka-1209 Phone: 8116094, Fax: 8124227 www.midas-bd.com.bd",1982-08-13,2020-05-15,2030-05-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mirnmoyee Mohilla Unnayan Sangstha,2861,"Vill: Charlaxmipur, PO&PS: Rajbari, Dist: Rajbari Phone: 01716-584415",2014-05-28,2019-05-28,2029-05-28,Rajbari,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mirpur Khaemul Insan Kalyan Sanstha,3413,"135/8/Ka, South Jonaki Road, Ahammad Nagor, Mirpur-1, Dhaka. Phone: 01787815942",2024-07-04,,2034-07-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Misbah Foundation,2104,"House-30, Road-16, Sector-03, Uttara, Dhaka-1230 Phone: 8911424",2006-06-08,,2011-06-08,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Misuk (A centre for Social Advancement),0833,"Vill. & P.O. Mirzaganj, Thana Domar, Nilphamari Phone: 01716-137301",1994-06-06,2024-06-06,2034-06-05,Nilphamari,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mitali Sangha,0539,"128/6 (3rd Floor), Bright Star Lane, Ulon Road, West Rampura, Dhaka-1219 Phone: 01916-828134",1991-09-30,2011-09-30,2016-09-30,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mitali Unnayan Sangstha (MUS),0975,"Vill. Sundarpur, P.O. Guchapara, Thana Chunarughat, Habiganj Phon: 01711-145017",1995-10-14,2020-10-14,2030-10-13,Habiganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mittrika (Shomaj Unnayan Mulak Protistan),3267,"Vill+Post: Keragasi, Kalaroa, Satkhira",2021-03-07,,2031-03-07,Sathkhira,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
MNHR Bangladesh(Manageme nt Network for Human Resources in Bangladesh,2965,"House-30, Lane-01, Block-B, Mirpur-13, Dhaka-1216 Phone: 01874490386",2015-09-14,2020-09-14,2030-09-13,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Moanoghar,1637,"Rangapani, Rangamati, Post: Box-05, Ramgamati Hill Tracts. Phone: 0351-61043 www.moanoghar.org",2001-05-14,2021-05-14,2031-05-14,Rangamati,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Model Livestock Advancement Foundation,3155,"Model Lifestock Institute, Dhaka Campus, Demra, Dhaka. Phone: 01719889294",2018-06-25,2018-06-25,2028-06-25,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Modern Development Organization(MDO),2418,"Gunergati, Sirajganj. Phone: 0751-62386",2009-03-03,2019-03-03,2029-03-03,Sirajganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohamuni Bidhaba-O-Anath Shishu Kalyan Kendra,0135,"Vill: pahartali, Post: Mohamuni, Raozan, Chattogram Phone : 207285, 01817-755883",1982-11-14,2020-05-15,2030-05-15,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohideb Jubo Samaj Kalyan Samity,0447,"Vill: Mohideb, P.O: Jummahat, Thana: Ulipur, Kurigram Phone: 01714-333911 www.mjsks.org",1991-03-08,2021-03-08,2031-03-08,Kurigram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohila Bohumukhi Shikha Kendra,0474,"Vill. Balubari, Nim Nagar, P.O. & Dist. Dinajpur Phone: 0531-64433",1991-05-26,2021-05-26,2031-05-25,Dinajpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohila Jonogostir Shabe Nittichith Koran,3331,"Joypur, Lohagora, Narail. Phone: 01645501436 email: suchitrabiswas12180@gmail.com",2022-10-30,,2032-10-29,Narail,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohila Kormasamgsthan O Daridra Bimochan Sangstha,3045,"Sahebpara, Joypurhat, Sadar, Joypurhat Phone: 0144842972",2016-10-16,2021-10-16,2031-10-15,Joypurhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohila Sabolambi Sohayak Sangstha (MSSS),2516,"6th Building House (Gr. Floor), Natore Road, PO+PS: Puthia, Dist.: Rajshahi. Phone: 01726-345988",2009-11-17,,2014-11-17,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohila Samaj Kalyan Samity,0580,"Tengapara, Mohanganj, Netrokona",1992-01-06,2021-01-06,2031-01-05,Netrakona,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohila Samaj Unnayn Sangstha,1097,"Vill+PO: Sonapur, Upazilla: Baliakandi, Diat: Rajbari. Phone: 01718-123387",1996-11-14,2006-11-14,2011-11-14,Rajbari,Bangladesh,"Cancelled on 23/12/2010, Revived on 14/10/2012",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohila Sanghati Parishad,1229,"318, New Bilshimla, Mosque Lane, Rajshahi-6000 Phone: 0721-762084",1997-12-30,2012-12-30,2017-12-30,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohila Unnayan Foundation (MUF),1821,"Housing State, House-21, Block-C, Raghunandanpur, Sree Aungan, Faridpur. Phone: 01712-149361",2003-04-29,2018-04-29,2028-04-29,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mohisbathan Samaj Kallayan Samity,2860,"PO: Sheker Kola, Upazila: Bogra Sadar, Dist: Bogra Phone: 01728-505776",2014-05-27,2019-05-27,2029-05-27,Bogra,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Moitree Palli Unnayan Shangathon,2651,"Khandaker Para, Sherpur, Powraba Shava Sherpur, Bogra. Phone: 05029-77159",2011-06-28,2021-06-28,2031-06-28,Bogra,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Momoda Foundation,3146,"House-1066, Road-7, Avenue-7, Mirpur DOHS, Dhaka, Phone: 01711590416",2018-05-03,,2028-05-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Momota Samaj Kallayan Sangstha,2563,"Vill: Shalgaria thanapara, P.O.: Pabna, Upazila: Pabna Sadar, Dist.: Pabna. Phone: 0731-64513",2010-04-22,2015-04-22,2020-04-21,Pabna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Monwara Islam Tajul Islam Welfare Trust,3417,"Shailan, Dhamrai, Dhaka Phone: 01924274735 email: mtwelfaretrust@gmail.com",2024-08-27,,2034-08-26,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Moon Light Development Society,3209,"Joypurpara, Bogra, Mob: 01749579100",2019-07-21,,2029-07-21,Bogra,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Moonflower Autism Foundation,3519,"20/28, Block-B, Babar Road, Mohammadpur, Dhaka-1207 Phone: 01713013130 email: naquib@moonflower-autism.org",2025-10-29,,2035-10-28,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mormosongsthan Mohila Unnoyon Sangstha,3414,"Moharajpur,Lohachura, Muksudpur, Goplaganj Phone: 01765826457 Email: nbakhanomtnisha@gmail.com",2024-07-29,,2034-07-28,Gopalganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mosabbir Memorial foundation,1982,"House-36, Road-02, Dhanmondi R/A, Dhaka-1205 Phone: 8622401, Fax: 8622402",2004-11-09,2019-11-09,2029-11-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Motaharun Nesa Maternal & Infant Care (MMIC),2247,"Navana Southern Wood, Falat-C/1, House-06, Road-14, Dhanmondi R/A, Dhaka. Phone: 9110809",2007-06-21,2012-06-21,2017-06-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mother & Child Development Organization,2852,"Vill: Jahangirpur, PO: Singhajuly, PS: Chawgacha, Dist: Jessore Phone: 01736-956565",2014-03-18,2019-03-18,2029-03-17,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mother & Child Internal Welfare Organization,1271,"House-30, Road-02, West Katasur, Mohammadpur, Dhaka. Phone: 8125193",1998-06-11,2018-06-11,2028-06-11,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Mothers & Infant Health Care Society,3586,"House-58/34-D, North Mugdapara, Modinabag, WASA Road, Dhaka-1214. Phone: 01715655735 email: mihcs2007@gmail.com",2026-02-24,,2036-02-23,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Motivation Awareness Training and Implementation (MATI),1524,"67/1, S.A. Sarkar Road, Shankipara, Mymensing. Phone: 01711-103063",2000-05-16,2020-05-16,2030-05-16,Mymensingh,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
